UNIQUE REF,Description,Element Description,Entity,ENEntity Name,PymtDate,SumOfNet Amt,SumOfVatAmt,SumOfGross Amt,
CFADDOM18345477,Adult & Community Services,Dom Care Spot,87025,1ST CALL HOMECARE LTD,04/05/2010,754.60,0.00,754.60,
CFADRES18419808,Adult & Community Services,Residential Care Spot,173212,AARON COURT,05/05/2010,2154.62,0.00,2154.62,
CFADRES18420491,Adult & Community Services,Residential Care Spot,173212,AARON COURT,19/05/2010,2156.94,0.00,2156.94,
CFADRES18419927,Adult & Community Services,Residential Care Spot,222686,ABBEY VIEW,05/05/2010,1279.20,0.00,1279.20,
CFADRES18420613,Adult & Community Services,Residential Care Spot,222686,ABBEY VIEW,19/05/2010,1279.20,0.00,1279.20,
CFADRES18419421,Adult & Community Services,Residential Care Spot,88511,ABBEYFIELD E DEV EXTRA CARE SOC,05/05/2010,760.86,0.00,760.86,
CFADRES18420105,Adult & Community Services,Residential Care Spot,88511,ABBEYFIELD E DEV EXTRA CARE SOC,19/05/2010,760.86,0.00,760.86,
CFADRES18419992,Adult & Community Services,Residential Care Spot,243120,ABBEYFIELD(READING),05/05/2010,554.30,0.00,554.30,
CFADRES18420678,Adult & Community Services,Residential Care Spot,243120,ABBEYFIELD(READING),19/05/2010,554.30,0.00,554.30,
CFADRES18420066,Adult & Community Services,Residential Care Spot,86776,ABBOTSFIELD NURSING HOME,19/05/2010,7299.22,0.00,7299.22,
CFADDAY18284721,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,10/05/2010,763.50,0.00,763.50,
CFADDAY18284722,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,10/05/2010,1172.50,0.00,1172.50,
CFADDAY18284723,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,10/05/2010,1235.78,0.00,1235.78,
CFADDAY18285106,Adult & Community Services,Individualised Support,203811,ACTIVE CARE PARTNERSHIPS,19/05/2010,1527.00,0.00,1527.00,
